Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type
"C1, C4, C52, C54",4,330nF,C_0603_1608Metric,,,,smt
"C12, C45",2,47uF 16v,C_1812_4532Metric,,,,smt
C13,1,822J,C_1206_3216Metric,,,,smt
"C15, C2, C32",3,1.2uF,C_0603_1608Metric,,,,smt
"C2, C34",2,1nF,C_0603_1608Metric,,,,smt
C23,1,1.2uF,C_0805_2012Metric,,,,smt
"C24, C37",2,230nF,C_0603_1608Metric,,,,smt
C26,1,10nF,C_0603_1608Metric,,,,smt
C28,1,8.1uF,C_1206_3216Metric,,,,smt
"C29, C30",2,1.5uF,C_0603_1608Metric,,,,smt
C3,1,30nF,C_0603_1608Metric,,,,smt
C31,1,230nF,C_1206_3216Metric,,,,smt
C38,1,2.2uF,C_0603_1608Metric,,,,smt
C39,1,100nF,C_0603_1608Metric,,,,smt
"C39, C48",2,25nF,C_0603_1608Metric,,,,smt
C40,1,16nF,C_0603_1608Metric,,,,smt
"C41, C43",2,1uF,C_0603_1608Metric,,,,smt
"C42, C51",2,1.2nF,C_0603_1608Metric,,,,smt
"C46, C47",2,24nF,C_0603_1608Metric,,,,smt
C5,1,250nF,C_0603_1608Metric,,,,smt
C56,1,1.6nF,C_0402_1005Metric,,,,smt
C56,1,470nF,C_0603_1608Metric,,,,smt
C57,1,6.8uF,C_1206_3216Metric,,,,smt
C58,1,220nF,C_0603_1608Metric,,,,smt
"C59, C60, C62",3,280nF,C_2220_5750Metric,,,,smt
"C70, C72",2,1.8uF,C_0603_1608Metric,,,,smt
C71,1,1.3uF,C_0805_2012Metric,,,,smt
C73,1,100pF,C_0402_1005Metric,,,,smt
C74,1,220nF,C_0805_2012Metric,,,,smt
CNP1,1,Line_Connector,Line_Connector,,,,smt
CNP2,1,modem_heaset_jack,modem_heaset_jack,,,,smt
CNP3,1,JST_8_headset_connector,JST_8_headset_connector,,,,smt
CNP4,1,Modem-Connector,Modem-Connector,,,,smt
CNP5,1,JST_2_modem_spkr,JST_2_modem_spkr,,,,smt
"D1, D7, D9",3,TO-269AA,TO-269AA,,,,smt
D10,1,152,D_1206_3216Metric,,,,smt
D2,1,1N4148,D_SOD-128,,,,smt
"D3, D4, D8",3,5,D_1206_3216Metric_modem,,,,smt
D5,1,3D,SOT-323_SC-70,,,,smt
D6,1,30H,SOT-23-3,,,,smt
DA1,1,M1T,DA_Modem,,,,smt
IC10,1,AT32 433,TSSOP-14_4.4x5mm_P0.65mm,,,,smt
IC11,1,EN29F040A,TSOP-I-32_18.4x8mm_P0.5mm_Reverse,,,,smt
IC12,1,KM681000BLT-7 (I-Reverse),TSOP-I-32_18.4x8mm_P0.5mm_Reverse,,,,smt
"IC13, IC17, IC2, IC7, IC9",5,EA,SOT-353_SC-70-5,,,,smt
IC14,1,E4,SOT-353_SC-70-5,,,,smt
IC15,1,8206 5877,SOIC-8_5.3x6.2mm_P1.27mm,,,,smt
IC16,1,E3,SOT-353_SC-70-5,,,,smt
IC18,1,3L01,TSOT-23-5,,,,smt
IC3,1,Line-Module,Line-Module,,,,smt
IC4,1,E5,SOT-353_SC-70-5,,,,smt
IC5,1,MN195,MN195,,,,smt
IC6,1,54,SOT-353_SC-70-5,,,,smt
IC8,1,TA31033F,SOIC-16_4.55x10.3mm_P1.27mm,,,,smt
"L1, L2",2,1.2uH,L_1206_3216Metric,,,,smt
"L3, L5",2,1.8uH,L_0603_1608Metric,,,,smt
L4,1,1.2uH,L_0603_1608Metric,,,,smt
NF1,1,300nH,L_1206_3216Metric,,,,smt
"NF2, NF4",2,4.7nH,L_1206_3216Metric,,,,smt
NF3,1,0,L_1206_3216Metric,,,,smt
OSC1,1,41.472,Oscillator_SMD_Fordahl_DFAS2-4Pin_7.3x5.1mm,,,,smt
PC2,1,TLP124,Everlight_ITR8307_Reverse,,,,smt
"Q1, Q4",2,CQ,SOT-323_SC-70,,,,smt
Q2,1,DA QU,SOT-89-3,,,,smt
Q3,1,123,SOT-323_SC-70,,,,smt
Q7,1,SOT-323_SC-70,SOT-323_SC-70,,,,smt
Q9,1,HP,SOT-323_SC-70,,,,smt
R1,1,12k,R_0402_1005Metric,,,,smt
"R10, R11, R68",3,38k,R_0402_1005Metric,,,,smt
"R100, R51, R72, R72, R90",5,470k,R_0402_1005Metric,,,,smt
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R124, R125, R126, R127, R129, R130, R131, R132",31,100,R_0402_1005Metric,,,,smt
"R12, R75",2,2.2k,R_2010_5025Metric,,,,smt
"R13, R133, R16, R17, R19, R21, R47, R49, R62, R67, R82",11,10k,R_0402_1005Metric,,,,smt
R14,1,560k,R_0402_1005Metric,,,,smt
R15,1,330k,R_0402_1005Metric,,,,smt
"R18, R46",2,1.5k,R_0402_1005Metric,,,,smt
"R2, R28, R29, R3, R30, R31, R32, R36, R37, R38, R41, R43",12,4.7k,R_0402_1005Metric,,,,smt
"R20, R63, R81, R9",4,100k,R_0402_1005Metric,,,,smt
R22,1,DNP,R_0402_1005Metric,,,Yes,smt
R23,1,DNP,R_0402_1005Metric,,,Yes,smt
R24,1,200,R_0603_1608Metric,,,,smt
R25,1,500k,R_0402_1005Metric,,,,smt
"R26, R33, R34, R7",4,10,R_1206_3216Metric,,,,smt
R27,1,DNP,R_0402_1005Metric,,,Yes,smt
R35,1,20,R_1206_3216Metric,,,,smt
R4,1,330,R_0402_1005Metric,,,,smt
R42,1,15k,R_0402_1005Metric,,,,smt
R44,1,51,R_0402_1005Metric,,,,smt
R48,1,3.3,R_1206_3216Metric,,,,smt
R5,1,100,R_0603_1608Metric,,,,smt
R50,1,6.2k,R_0603_1608Metric,,,,smt
"R52, R70, R71",3,1k,R_0402_1005Metric,,,,smt
R53,1,11k,R_0603_1608Metric,,,,smt
R54,1,1.5k,R_0603_1608Metric,,,,smt
R55,1,82,R_2010_5025Metric,,,,smt
R56,1,15,R_1206_3216Metric,,,,smt
R57,1,150,R_0603_1608Metric,,,,smt
R58,1,620,R_0603_1608Metric,,,,smt
"R59, R60",2,2.2k,R_0402_1005Metric,,,,smt
R6,1,3.3k,R_0603_1608Metric,,,,smt
R61,1,3.6k,R_0402_1005Metric,,,,smt
R65,1,15,R_0402_1005Metric,,,,smt
R68,1,20k,R_0402_1005Metric,,,,smt
R73,1,120,R_0603_1608Metric,,,,smt
R76,1,2.4k,R_0402_1005Metric,,,,smt
R77,1,270k,R_0402_1005Metric,,,,smt
R78,1,5.6k,R_0402_1005Metric,,,,smt
R8,1,22k,R_0402_1005Metric,,,,smt
R92,1,47k,R_0402_1005Metric,,,,smt
"R98, R99",2,100,R_0805_2012Metric,,,,smt
RL1,1,RL,RL,,,,smt
SW2,1,SW_modem,SW_modem,,,,smt
T1,1,IsoTransformer,IsoTransformer,,,,smt
VA1,1,R_2512_6332Metric,R_2512_6332Metric,,,,smt
